∆∆∆ COPY_CHANGE ∆∆∆ NOW ∆∆∆
food_info_serving_sizes_beans_imperial.2	dozeBeans.Serving.imperial.2	⅓ cup tofu or tempeh	⅓ cup tofu or tempeh		
food_info_serving_sizes_beans_imperial.3	dozeBeans.Serving.imperial.3	1 cup fresh peas or sprouted lentils	1 cup fresh peas or sprouted lentils		

∆∆∆ DROP_END ∆∆∆ WAS ∆∆∆
food_info_serving_sizes_beans_imperial.4	dozeBeans.Serving.imperial.4	1 cup fresh sprouted beans (lentils, mung beans)	1 cup fresh sprouted beans (lentils, mung beans)		

∆∆∆ COPY_CHANGE ∆∆∆ NOW ∆∆∆
food_info_serving_sizes_beans_metric.0	dozeBeans.Serving.metric.0	70 g hummus or bean dip	70 g hummus or bean dip		
food_info_serving_sizes_beans_metric.1	dozeBeans.Serving.metric.1	100 g cooked beans, split peas, or lentils	100 g cooked beans, split peas, or lentils		
food_info_serving_sizes_beans_metric.2	dozeBeans.Serving.metric.2	80 g tofu or tempeh	80 g tofu or tempeh		
food_info_serving_sizes_beans_metric.3	dozeBeans.Serving.metric.3	100 g fresh peas or sprouted lentils	100 g fresh peas or sprouted lentils		

∆∆∆ DROP_END ∆∆∆ WAS ∆∆∆
food_info_serving_sizes_beans_metric.4	dozeBeans.Serving.metric.4	100 g fresh sprouted beans (lentils, mung beans)	100 g fresh sprouted beans (lentils, mung beans)		

∆∆∆ DROP_MID ∆∆∆ WAS ∆∆∆ REQUIRES RENUMBERING
food_info_types_beans.10	dozeBeans.Variety.Text.10	Miso	Miso		

∆∆∆ COPY_CHANGE ∆∆∆ NOW ∆∆∆
food_info_serving_sizes_berries_metric.0	dozeBerries.Serving.metric.0	70 g fresh or frozen	70 g fresh or frozen		

∆∆∆ NO_ADD_END ∆∆∆ WAS_DUPLICATE_ERROR_IN_NEW ∆∆∆ 
food_info_types_other_fruits.28	dozeFruitsOther.Variety.Text.28	Lychees	Lychees	

∆∆∆ DROP_MID ∆∆∆ WAS ∆∆∆ REQUIRES RENUMBERING
food_info_types_beverages.7	dozeBeverages.Variety.Text.7	Hot chocolate	Hot chocolate		

∆∆∆ COPY_CHANGE ∆∆∆ NOW ∆∆∆
food_info_serving_sizes_other_fruits_metric.1	dozeFruitsOther.Serving.metric.1	150 g cut-up fruit	150 g cut-up fruit		

∆∆∆ DROP_MID ∆∆∆ WAS ∆∆∆ REQUIRES RENUMBERING
food_info_types_nuts.1	dozeNuts.Variety.Text.1	Brazil nuts	Brazil nuts		

∆∆∆ COPY_CHANGE ∆∆∆ NOW ∆∆∆
∆∆∆ INSERT_MID ∆∆∆ FULL_REPLACE ∆∆∆ NOW ∆∆∆
food_info_serving_sizes_cruciferous_vegetables_imperial.0	dozeVegetablesCruciferous.Serving.imperial.0	½ cup cooked leafy vegetables	½ cup cooked leafy vegetables		
food_info_serving_sizes_cruciferous_vegetables_imperial.1	dozeVegetablesCruciferous.Serving.imperial.1	½ cup raw or cooked non-leafy vegetables	½ cup raw or cooked non-leafy vegetables		
food_info_serving_sizes_cruciferous_vegetables_imperial.2	dozeVegetablesCruciferous.Serving.imperial.2	1 cup raw leafy vegetables	1 cup raw leafy vegetables		
food_info_serving_sizes_cruciferous_vegetables_imperial.3	dozeVegetablesCruciferous.Serving.imperial.3	¼ cup broccoli sprouts	¼ cup broccoli sprouts		
food_info_serving_sizes_cruciferous_vegetables_imperial.4	dozeVegetablesCruciferous.Serving.imperial.4	1 tablespoon horseradish	1 tablespoon horseradish		
food_info_serving_sizes_cruciferous_vegetables_metric.0	dozeVegetablesCruciferous.Serving.metric.0	90 g cooked leafy vegetables	90 g cooked leafy vegetables		
food_info_serving_sizes_cruciferous_vegetables_metric.1	dozeVegetablesCruciferous.Serving.metric.1	60 g raw or cooked non-leafy vegetables	60 g raw or cooked non-leafy vegetables		
food_info_serving_sizes_cruciferous_vegetables_metric.2	dozeVegetablesCruciferous.Serving.metric.2	90 g raw leafy vegetables	90 g raw leafy vegetables		
food_info_serving_sizes_cruciferous_vegetables_metric.3	dozeVegetablesCruciferous.Serving.metric.3	20 g broccoli sprouts	20 g broccoli sprouts		
food_info_serving_sizes_cruciferous_vegetables_metric.4	dozeVegetablesCruciferous.Serving.metric.4	1 tablespoon horseradish	1 tablespoon horseradish		

∆∆∆ COPY_CHANGE ∆∆∆ NOW ∆∆∆
food_info_serving_sizes_other_vegetables_metric.1	dozeVegetablesOther.Serving.metric.1	90 g raw or cooked nonleafy vegetables	90 g raw or cooked nonleafy vegetables		
food_info_serving_sizes_other_vegetables_metric.2	dozeVegetablesOther.Serving.metric.2	120 ml vegetable juice	120 ml vegetable juice		
food_info_serving_sizes_other_vegetables_metric.3	dozeVegetablesOther.Serving.metric.3	10 g dried mushrooms	10 g dried mushrooms		

∆∆∆ COPY_CHANGE ∆∆∆ NOW ∆∆∆
food_info_types_other_vegetables.7	dozeVegetablesOther.Variety.Text.7	Mushrooms (button, oyster, porcini, portobello, and shiitake)	Mushrooms (button, oyster, porcini, portobello, and shiitake)		

∆∆∆ COPY_CHANGE ∆∆∆ NOW ∆∆∆
∆∆∆ INSERT_MID ∆∆∆ FULL_REPLACE ∆∆∆ NOW ∆∆∆
food_info_serving_sizes_whole_grains_imperial.0	dozeWholeGrains.Serving.imperial.0	½ cup cooked whole grains, whole-wheat pasta, or corn kernels	½ cup cooked whole grains, whole-wheat pasta, or corn kernels		
food_info_serving_sizes_whole_grains_imperial.1	dozeWholeGrains.Serving.imperial.1	1 cup 100% whole grain cold cereal	1 cup 100% whole grain cold cereal		
food_info_serving_sizes_whole_grains_imperial.2	dozeWholeGrains.Serving.imperial.2	1 100% whole grain tortilla (or 2 smaller corn tortillas)	1 100% whole grain tortilla (or 2 smaller corn tortillas)		
food_info_serving_sizes_whole_grains_imperial.3	dozeWholeGrains.Serving.imperial.3	1 slice of 100% whole grain bread	1 slice of 100% whole grain bread		
food_info_serving_sizes_whole_grains_imperial.4	dozeWholeGrains.Serving.imperial.4	½ bagel or English muffin	½ bagel or English muffin		
